First,Last,Year,#,Asset,Asset Type,Owner,Value,Income Type,Income
MICHAEL,BENNET,2015,<td>11.11</td>,"<td class=""span4""><strong class=""marginit-right"">Harbor Spring Capital Partners, LP</strong><div class=""muted""><em>Description</em>: Hedge Fund (New York, NY) </div></td>","<td>Investment Fund<div class=""muted"">Hedge Fund</div></td>",<td>Self</td>,"<td>$1,000,001 - $5,000,000</td>","<td>Excepted Investment Fund, </td>","<td>$15,001 - $50,000</td>"
MICHAEL,BENNET,2015,<td>12</td>,"<td class=""span4""><strong class=""marginit-right"">CollegeInvest Fund</strong><div class=""muted""><em>Institution:</em> CollegeInvest</div><div class=""addUnderlyingAssets noWrap""></div><div class=""muted""></div></td>","<td>Education Savings Plans<div class=""muted"">529 College Savings Plan</div></td>",<td>Child</td>,<td></td>,<td></td>,<td></td>
MICHAEL,BENNET,2015,<td>12.1</td>,"<td class=""span4""><strong class=""marginit-right"">Conservative Age option: Income Portfolio</strong><div class=""muted""></div></td>","<td>Mutual Funds<div class=""muted"">Mutual Fund</div></td>",<td>Child</td>,"<td>$100,001 - $250,000</td>","<td>Excepted Investment Fund, </td>","<td>$1,001 - $2,500</td>"
MICHAEL,BENNET,2015,<td>12.2</td>,"<td class=""span4""><strong class=""marginit-right"">Moderate Age option: Conservative Growth</strong><div class=""muted""></div></td>","<td>Mutual Funds<div class=""muted"">Mutual Fund</div></td>",<td>Child</td>,"<td>$100,001 - $250,000</td>","<td>Excepted Investment Fund, </td>","<td>$201 - $1,000</td>"
MICHAEL,BENNET,2015,<td>13</td>,"<td class=""span4""><strong class=""marginit-right"">TIAA-CREF Retirement Portfolio</strong><div class=""addUnderlyingAssets noWrap""></div><div class=""muted""></div></td>","<td>Retirement Plans<div class=""muted"">Defined Contribution Pension Plan</div></td>",<td>Spouse</td>,<td></td>,<td></td>,<td></td>
MICHAEL,BENNET,2015,<td>13.1</td>,"<td class=""span4""><strong class=""marginit-right""><a href=""http://finance.yahoo.com/q?s=VTHRX"" target=""_blank"">VTHRX</a> - Vanguard Target Retirement 2030 Inv (NASDAQ)</strong><div class=""muted""></div></td>","<td>Mutual Funds<div class=""muted"">Mutual Fund</div></td>",<td>Spouse</td>,"<td>$15,001 - $50,000</td>","<td>Excepted Investment Fund, </td>",<td>None (or less than $201)</td>
MICHAEL,BENNET,2015,<td>14</td>,"<td class=""span4""><strong class=""marginit-right"">Vanguard 403(b)7 Account</strong><div class=""addUnderlyingAssets noWrap""></div><div class=""muted""></div></td>","<td>Retirement Plans<div class=""muted"">Defined Contribution Pension Plan</div></td>",<td>Spouse</td>,<td></td>,<td></td>,<td></td>
MICHAEL,BENNET,2015,<td>14.1</td>,"<td class=""span4""><strong class=""marginit-right""><a href=""http://finance.yahoo.com/q?s=VEURX"" target=""_blank"">VEURX</a> - Vanguard European Stock Index Inv (NASDAQ)</strong><div class=""muted""></div></td>","<td>Mutual Funds<div class=""muted"">Mutual Fund</div></td>",<td>Spouse</td>,"<td>$15,001 - $50,000</td>","<td>Excepted Investment Fund, </td>",<td>None (or less than $201)</td>
MICHAEL,BENNET,2015,<td>14.2</td>,"<td class=""span4""><strong class=""marginit-right""><a href=""http://finance.yahoo.com/q?s=VGHCX"" target=""_blank"">VGHCX</a> - Vanguard Health Care Inv (NASDAQ)</strong><div class=""muted""></div></td>","<td>Mutual Funds<div class=""muted"">Mutual Fund</div></td>",<td>Spouse</td>,"<td>$50,001 - $100,000</td>","<td>Excepted Investment Fund, </td>","<td>$5,001 - $15,000</td>"
MICHAEL,BENNET,2015,<td>14.3</td>,"<td class=""span4""><strong class=""marginit-right""><a href=""http://finance.yahoo.com/q?s=VWUSX"" target=""_blank"">VWUSX</a> - Vanguard US Growth Inv (NASDAQ)</strong><div class=""muted""></div></td>","<td>Mutual Funds<div class=""muted"">Mutual Fund</div></td>",<td>Spouse</td>,"<td>$15,001 - $50,000</td>","<td>Excepted Investment Fund, </td>","<td>$2,501 - $5,000</td>"
MICHAEL,BENNET,2015,<td>14.4</td>,"<td class=""span4""><strong class=""marginit-right""><a href=""http://finance.yahoo.com/q?s=VFINX"" target=""_blank"">VFINX</a> - Vanguard 500 Index Inv (NASDAQ)</strong><div class=""muted""></div></td>","<td>Mutual Funds<div class=""muted"">Mutual Fund</div></td>",<td>Spouse</td>,"<td>$50,001 - $100,000</td>","<td>Excepted Investment Fund, </td>","<td>$1,001 - $2,500</td>"
MICHAEL,BENNET,2015,<td>15</td>,"<td class=""span4""><strong class=""marginit-right"">WilmerHale Retirement Account</strong><div class=""addUnderlyingAssets noWrap""></div><div class=""muted""></div></td>","<td>Retirement Plans<div class=""muted"">Defined Contribution Pension Plan</div></td>",<td>Self</td>,<td></td>,<td></td>,<td></td>
MICHAEL,BENNET,2015,<td>15.1</td>,"<td class=""span4""><strong class=""marginit-right""><a href=""http://finance.yahoo.com/q?s=CIVIX"" target=""_blank"">CIVIX</a> - Causeway International Value Instl (NASDAQ)</strong><div class=""muted""></div></td>","<td>Mutual Funds<div class=""muted"">Mutual Fund</div></td>",<td>Self</td>,"<td>$1,001 - $15,000</td>","<td>Excepted Investment Fund, </td>",<td>None (or less than $201)</td>
MICHAEL,BENNET,2015,<td>15.2</td>,"<td class=""span4""><strong class=""marginit-right""><a href=""http://finance.yahoo.com/q?s=TSFIX"" target=""_blank"">TSFIX</a> - Touchstone Small Cap Core Inst (NASDAQ)</strong><div class=""muted""></div></td>","<td>Mutual Funds<div class=""muted"">Mutual Fund</div></td>",<td>Self</td>,"<td>$15,001 - $50,000</td>","<td>Excepted Investment Fund, </td>",<td>None (or less than $201)</td>
MICHAEL,BENNET,2015,<td>15.3</td>,"<td class=""span4""><strong class=""marginit-right"">Blackrock Equity Index Non-Lendable Fund Class M</strong><div class=""muted""></div></td>","<td>Mutual Funds<div class=""muted"">Mutual Fund</div></td>",<td>Self</td>,"<td>$15,001 - $50,000</td>","<td>None, </td>",<td>None (or less than $201)</td>
MICHAEL,BENNET,2020,<td>1</td>,"<td class=""span4""><strong class=""marginit-right"">PERA - Public Employees' Retirement Association of Colorado</strong><div class=""muted""></div></td>","<td>Retirement Plans<div class=""muted"">Defined Benefit Pension Plan</div></td>",<td>Self</td>,"<td>$50,001 - $100,000</td>","<td>Excepted Investment Fund, </td>",<td>None (or less than $201)</td>
MICHAEL,BENNET,2020,<td>2</td>,"<td class=""span4""><strong>Suntrust</strong><div class=""muted noWrap"">(Richmond, VA)</div><div class=""muted""><div class=""muted""><em>Type: </em>Certificate of Deposit, </div></div></td>",<td>Bank Deposit</td>,<td>Spouse</td>,"<td>$1,001 - $15,000</td>","<td>None, </td>",<td>None (or less than $201)</td>
MICHAEL,BENNET,2020,<td>3</td>,"<td class=""span4""><strong class=""marginit-right"">CollegeInvest Fund</strong><div class=""muted""><em>Institution:</em> CollegeInvest</div><div class=""addUnderlyingAssets noWrap""></div><div class=""muted""></div></td>","<td>Education Savings Plans<div class=""muted"">529 College Savings Plan</div></td>",<td>Child</td>,<td></td>,<td></td>,<td></td>
MICHAEL,BENNET,2020,<td>3.1</td>,"<td class=""span4""><strong class=""marginit-right"">Conservative Age-Based option: 50% Bond/50% Money Market Portfolio</strong><div class=""muted""></div></td>","<td>Mutual Funds<div class=""muted"">Mutual Fund</div></td>",<td>Child</td>,"<td>$100,001 - $250,000</td>","<td>Excepted Investment Fund, </td>",<td>None (or less than $201)</td>
MICHAEL,BENNET,2020,<td>3.2</td>,"<td class=""span4""><strong class=""marginit-right"">Moderate Age-Based option: 12.5% Stock/87.5% Bond Portfolio </strong><div class=""muted""></div></td>","<td>Mutual Funds<div class=""muted"">Mutual Fund</div></td>",<td>Child</td>,"<td>$100,001 - $250,000</td>","<td>Excepted Investment Fund, </td>",<td>None (or less than $201)</td>
MICHAEL,BENNET,2020,<td>4</td>,"<td class=""span4""><strong class=""marginit-right"">CollegeInvest Fund</strong><div class=""muted""><em>Institution:</em> CollegeInvest</div><div class=""addUnderlyingAssets noWrap""></div><div class=""muted""></div></td>","<td>Education Savings Plans<div class=""muted"">529 College Savings Plan</div></td>",<td>Child</td>,<td></td>,<td></td>,<td></td>
MICHAEL,BENNET,2020,<td>4.1</td>,"<td class=""span4""><strong class=""marginit-right"">Moderate Age option: Income Portfolio</strong><div class=""muted""></div></td>","<td>Mutual Funds<div class=""muted"">Mutual Fund</div></td>",<td>Child</td>,"<td>$100,001 - $250,000</td>","<td>Excepted Investment Fund, </td>",<td>None (or less than $201)</td>
MICHAEL,BENNET,2020,<td>4.2</td>,"<td class=""span4""><strong class=""marginit-right"">Conservative Age-Based option: Interest Accumulation Portfolio</strong><div class=""muted""></div></td>","<td>Mutual Funds<div class=""muted"">Mutual Fund</div></td>",<td>Child</td>,"<td>$100,001 - $250,000</td>","<td>Excepted Investment Fund, </td>",<td>None (or less than $201)</td>
MICHAEL,BENNET,2020,<td>5</td>,"<td class=""span4""><strong class=""marginit-right"">Daggett Farms Limited Partnership</strong><div class=""muted""><em>Description:</em> 1500 acre family farm (Marianna, AR) <em>Filer comment:  </em>9.42% limited partnership</div></td>",<td>Farm</td>,<td>Spouse</td>,"<td>$15,001 - $50,000</td>","<td>Rent/Royalties, Interest, </td>","<td>$5,001 - $15,000</td>"
MICHAEL,BENNET,2020,<td>6</td>,"<td class=""span4""><strong class=""marginit-right"">LMD Farms Limited Partnership</strong><div class=""muted""><em>Description:</em> 1500 acre family farm (Marianna, AR) <em>Filer comment:  </em>8.97% limited partnership </div></td>",<td>Farm</td>,<td>Spouse</td>,"<td>$15,001 - $50,000</td>","<td>Rent/Royalties, Interest, </td>","<td>$15,001 - $50,000</td>"
MICHAEL,BENNET,2020,<td>7</td>,"<td class=""span4""><strong class=""marginit-right"">The Michael F. Bennet Trust</strong><div class=""addUnderlyingAssets noWrap""></div><div class=""muted""></div></td>","<td>Trust<div class=""muted"">General Trust</div></td>",<td>Self</td>,<td></td>,<td></td>,<td></td>
MICHAEL,BENNET,2020,<td>7.1</td>,"<td class=""span4""><strong>Charles Schwab Bank</strong><div class=""muted noWrap"">(Denver, CO)</div><div class=""muted""><div class=""muted""><em>Type: </em>Money Market Account, </div></div></td>",<td>Bank Deposit</td>,<td>Self</td>,"<td>$1,000,001 - $5,000,000</td>","<td>Interest, </td>","<td>$1,001 - $2,500</td>"
MICHAEL,BENNET,2020,<td>7.2</td>,"<td class=""span4""><strong class=""marginit-right""><a href=""http://finance.yahoo.com/q?s=SPY"" target=""_blank"">SPY</a> - SPDR S&amp;P 500 ETF</strong><div class=""muted""></div></td>","<td>Mutual Funds<div class=""muted"">Exchange Traded Fund/Note</div></td>",<td>Self</td>,"<td>$500,001 - $1,000,000</td>","<td>Excepted Investment Fund, </td>","<td>$5,001 - $15,000</td>"
MICHAEL,BENNET,2020,<td>7.3</td>,"<td class=""span4""><strong class=""marginit-right""><a href=""http://finance.yahoo.com/q?s=EAERX"" target=""_blank"">EAERX</a> - Eaton Vance Stock A</strong><div class=""muted""></div></td>","<td>Mutual Funds<div class=""muted"">Mutual Fund</div></td>",<td>Self</td>,"<td>$1,000,001 - $5,000,000</td>","<td>Excepted Investment Fund, </td>","<td>$50,001 - $100,000</td>"
MICHAEL,BENNET,2020,<td>7.4</td>,"<td class=""span4""><strong class=""marginit-right"">Canyon Balanced Fund LP</strong><div class=""muted""><em>Description</em>: Hedge fund (Los Angeles, CA) </div></td>","<td>Investment Fund<div class=""muted"">Hedge Fund</div></td>",<td>Self</td>,"<td>$1,000,001 - $5,000,000</td>","<td>Excepted Investment Fund, </td>","<td>$15,001 - $50,000</td>"
MICHAEL,BENNET,2020,<td>7.5</td>,"<td class=""span4""><strong class=""marginit-right"">Belmar HH Owner LLC</strong><div class=""muted""><em>Description:</em> Hotel (Lakewood, CO) </div></td>","<td>Real Estate<div class=""muted"">Commercial</div></td>",<td>Self</td>,"<td>$1,001 - $15,000</td>","<td>None, </td>",<td>None (or less than $201)</td>
MICHAEL,BENNET,2020,<td>7.6</td>,"<td class=""span4""><strong class=""marginit-right"">CP Block A Member, LLC</strong><div class=""muted""><em>Description:</em> Mixed use development (Denver, CO) </div></td>","<td>Real Estate<div class=""muted"">Commercial</div></td>",<td>Self</td>,"<td>$50,001 - $100,000</td>","<td>None, </td>",<td>None (or less than $201)</td>
MICHAEL,BENNET,2020,<td>7.7</td>,"<td class=""span4""><strong class=""marginit-right"">Harbor Spring Capital Partners, LP</strong><div class=""muted""><em>Description</em>: Hedge Fund (New York, NY) </div></td>","<td>Investment Fund<div class=""muted"">Hedge Fund</div></td>",<td>Self</td>,"<td>$1,000,001 - $5,000,000</td>","<td>Excepted Investment Fund, </td>","<td>$50,001 - $100,000</td>"
MICHAEL,BENNET,2020,<td>7.8</td>,"<td class=""span4""><strong class=""marginit-right""><a href=""http://finance.yahoo.com/q?s=LUMN"" target=""_blank"">LUMN</a> - Lumen Technologies, Inc.</strong><div class=""muted""><em>Filer comment:  </em>Name change, previously reported as CenturyLink, Inc. (CTL)</div></td>","<td>Corporate Securities<div class=""muted"">Stock</div></td>",<td>Self</td>,"<td>$15,001 - $50,000</td>","<td>Dividends, </td>","<td>$2,501 - $5,000</td>"
MICHAEL,BENNET,2020,<td>7.9</td>,"<td class=""span4""><strong class=""marginit-right"">Continuum Real Estate Investors 2016, LLC</strong><div class=""addUnderlyingAssets noWrap""></div><div class=""muted""><em>Company:</em> Continuum Real Estate Investors 2016, LLC (Denver, CO) <em>Description:</em> Commercial Real Estate </div></td>","<td>Business Entity<div class=""muted"">Limited Liability Company (LLC)</div></td>",<td>Self</td>,<td></td>,<td></td>,<td></td>
MICHAEL,BENNET,2020,<td>7.9.1</td>,"<td class=""span4""><strong class=""marginit-right"">Continuum Market Station, LLC</strong><div class=""muted""><em>Description:</em> Continuum Market Station, LLC (Denver, CO) </div></td>","<td>Real Estate<div class=""muted"">Commercial</div></td>",<td>Self</td>,"<td>$100,001 - $250,000</td>","<td>None, </td>",<td>None (or less than $201)</td>
MICHAEL,BENNET,2020,<td>7.9.2</td>,"<td class=""span4""><strong class=""marginit-right"">Continuum 640 Santa Fe, LLC</strong><div class=""muted""><em>Description:</em> Continuum 640 Santa Fe, LLC (Los Angeles, CA) </div></td>","<td>Real Estate<div class=""muted"">Commercial</div></td>",<td>Self</td>,"<td>$100,001 - $250,000</td>","<td>None, </td>",<td>None (or less than $201)</td>
MICHAEL,BENNET,2020,<td>7.9.3</td>,"<td class=""span4""><strong class=""marginit-right"">CP 90Co Member, LLC</strong><div class=""muted""><em>Description:</em> CP 90Co Member, LLC (Denver, CO) </div></td>","<td>Real Estate<div class=""muted"">Commercial</div></td>",<td>Self</td>,"<td>$100,001 - $250,000</td>","<td>None, </td>",<td>None (or less than $201)</td>
MICHAEL,BENNET,2020,<td>7.10</td>,"<td class=""span4""><strong class=""marginit-right"">Madeira Capital Investments Limited</strong><div class=""addUnderlyingAssets noWrap""></div><div class=""muted""><em>Company:</em> Madeira Capital Investments Limited (Ebene, Muritius (India)) <em>Description:</em> Private Equity - Retail </div></td>","<td>Business Entity<div class=""muted"">Limited Partnership (LP)</div></td>",<td>Self</td>,<td></td>,<td></td>,<td></td>
MICHAEL,BENNET,2020,<td>7.10.1</td>,"<td class=""span4""><strong class=""marginit-right"">More</strong><div class=""muted""><em>Description</em>: Grocery Chain (Ebene, Muritius (India)) </div></td>",<td>Other Securities</td>,<td>Self</td>,"<td>$250,001 - $500,000</td>","<td>None, </td>",<td>None (or less than $201)</td>
MICHAEL,BENNET,2020,<td>7.11</td>,"<td class=""span4""><strong class=""marginit-right"">CP Kent Place Member, LLC</strong><div class=""muted""><em>Description:</em> CP Kent Place Member, LLC (Denver, CO) </div></td>","<td>Real Estate<div class=""muted"">Commercial</div></td>",<td>Self</td>,"<td>$250,001 - $500,000</td>","<td>Rent/Royalties, </td>","<td>$5,001 - $15,000</td>"
MICHAEL,BENNET,2020,<td>8</td>,"<td class=""span4""><strong class=""marginit-right"">CollegeInvest Fund</strong><div class=""muted""><em>Institution:</em> CollegeInvest</div><div class=""addUnderlyingAssets noWrap""></div><div class=""muted""></div></td>","<td>Education Savings Plans<div class=""muted"">529 College Savings Plan</div></td>",<td>Child</td>,<td></td>,<td></td>,<td></td>
MICHAEL,BENNET,2020,<td>8.1</td>,"<td class=""span4""><strong class=""marginit-right"">Moderate Age option: Income portfolio</strong><div class=""muted""></div></td>","<td>Mutual Funds<div class=""muted"">Mutual Fund</div></td>",<td>Child</td>,"<td>$100,001 - $250,000</td>","<td>Excepted Investment Fund, </td>",<td>None (or less than $201)</td>
MICHAEL,BENNET,2020,<td>8.2</td>,"<td class=""span4""><strong class=""marginit-right"">Conservative Age-Based option: Interest Accumulation Portfolio</strong><div class=""muted""></div></td>","<td>Mutual Funds<div class=""muted"">Mutual Fund</div></td>",<td>Child</td>,"<td>$100,001 - $250,000</td>","<td>Excepted Investment Fund, </td>",<td>None (or less than $201)</td>
MICHAEL,BENNET,2020,<td>9</td>,"<td class=""span4""><strong class=""marginit-right"">TIAA-CREF Retirement Portfolio</strong><div class=""addUnderlyingAssets noWrap""></div><div class=""muted""></div></td>","<td>Retirement Plans<div class=""muted"">Defined Contribution Pension Plan</div></td>",<td>Spouse</td>,<td></td>,<td></td>,<td></td>
MICHAEL,BENNET,2020,<td>9.1</td>,"<td class=""span4""><strong class=""marginit-right""><a href=""http://finance.yahoo.com/q?s=VTTWX"" target=""_blank"">VTTWX</a> - Vanguard Instl Trgt Retire 2030 Instl</strong><div class=""muted""></div></td>","<td>Mutual Funds<div class=""muted"">Mutual Fund</div></td>",<td>Spouse</td>,"<td>$100,001 - $250,000</td>","<td>Excepted Investment Fund, </td>",<td>None (or less than $201)</td>
MICHAEL,BENNET,2020,<td>10</td>,"<td class=""span4""><strong class=""marginit-right"">WilmerHale Retirement Account</strong><div class=""addUnderlyingAssets noWrap""></div><div class=""muted""></div></td>","<td>Retirement Plans<div class=""muted"">Defined Contribution Pension Plan</div></td>",<td>Self</td>,<td></td>,<td></td>,<td></td>
MICHAEL,BENNET,2020,<td>10.1</td>,"<td class=""span4""><strong class=""marginit-right"">Blackrock Equity Index Non-Lendable Fund Class M</strong><div class=""muted""></div></td>","<td>Mutual Funds<div class=""muted"">Mutual Fund</div></td>",<td>Self</td>,"<td>$15,001 - $50,000</td>","<td>Excepted Investment Fund, </td>",<td>None (or less than $201)</td>
MICHAEL,BENNET,2020,<td>10.2</td>,"<td class=""span4""><strong class=""marginit-right""><a href=""http://finance.yahoo.com/q?s=VTMSX"" target=""_blank"">VTMSX</a> - Vanguard Tax-Managed Small Cap Adm</strong><div class=""muted""></div></td>","<td>Mutual Funds<div class=""muted"">Mutual Fund</div></td>",<td>Self</td>,"<td>$15,001 - $50,000</td>","<td>Excepted Investment Fund, </td>",<td>None (or less than $201)</td>
MICHAEL,BENNET,2020,<td>10.3</td>,"<td class=""span4""><strong class=""marginit-right""><a href=""http://finance.yahoo.com/q?s=OAKIX"" target=""_blank"">OAKIX</a> - Oakmark International Fund Investor Class</strong><div class=""muted""></div></td>","<td>Mutual Funds<div class=""muted"">Mutual Fund</div></td>",<td>Self</td>,"<td>$1,001 - $15,000</td>","<td>Excepted Investment Fund, </td>",<td>None (or less than $201)</td>
MICHAEL,BENNET,2020,<td>11</td>,"<td class=""span4""><strong class=""marginit-right"">Charles Schwab - Rollover IRA</strong><div class=""addUnderlyingAssets noWrap""></div><div class=""muted""></div></td>","<td>Retirement Plans<div class=""muted"">IRA</div></td>",<td>Self</td>,<td></td>,<td></td>,<td></td>
MICHAEL,BENNET,2020,<td>11.1</td>,"<td class=""span4""><strong class=""marginit-right""><a href=""http://finance.yahoo.com/q?s=MDLOX"" target=""_blank"">MDLOX</a> - BlackRock Global Allocation Inv A</strong><div class=""muted""></div></td>","<td>Mutual Funds<div class=""muted"">Mutual Fund</div></td>",<td>Self</td>,"<td>$15,001 - $50,000</td>","<td>Excepted Investment Fund, </td>",<td>None (or less than $201)</td>
MICHAEL,BENNET,2020,<td>12</td>,"<td class=""span4""><strong class=""marginit-right"">Empower Retirement: Anschutz Employees' Thrift Savings Plan</strong><div class=""addUnderlyingAssets noWrap""></div><div class=""muted""></div></td>","<td>Retirement Plans<div class=""muted"">Defined Contribution Pension Plan</div></td>",<td>Self</td>,<td></td>,<td></td>,<td></td>
MICHAEL,BENNET,2020,<td>12.1</td>,"<td class=""span4""><strong class=""marginit-right""><a href=""http://finance.yahoo.com/q?s=RPTIX"" target=""_blank"">RPTIX</a> - T. Rowe Price Mid-Cap Growth Fund I Class</strong><div class=""muted""></div></td>","<td>Mutual Funds<div class=""muted"">Mutual Fund</div></td>",<td>Self</td>,"<td>$500,001 - $1,000,000</td>","<td>Excepted Investment Fund, </td>",<td>None (or less than $201)</td>
MICHAEL,BENNET,2020,<td>12.2</td>,"<td class=""span4""><strong class=""marginit-right""><a href=""http://finance.yahoo.com/q?s=BTMKX"" target=""_blank"">BTMKX</a> - iShares MSCI EAFE International Index Fund Class K</strong><div class=""muted""></div></td>","<td>Mutual Funds<div class=""muted"">Mutual Fund</div></td>",<td>Self</td>,"<td>$100,001 - $250,000</td>","<td>Excepted Investment Fund, </td>",<td>None (or less than $201)</td>
MICHAEL,BENNET,2020,<td>13</td>,"<td class=""span4""><strong class=""marginit-right"">Newport Group Retirement Annuity Plan</strong><div class=""addUnderlyingAssets noWrap""></div><div class=""muted""></div></td>","<td>Retirement Plans<div class=""muted"">Defined Contribution Pension Plan</div></td>",<td>Spouse</td>,<td></td>,<td></td>,<td></td>
MICHAEL,BENNET,2020,<td>13.1</td>,"<td class=""span4""><strong class=""marginit-right""><a href=""http://finance.yahoo.com/q?s=VTHRX"" target=""_blank"">VTHRX</a> - Vanguard Target Retirement 2030 Inv</strong><div class=""muted""></div></td>","<td>Mutual Funds<div class=""muted"">Mutual Fund</div></td>",<td>Spouse</td>,"<td>$250,001 - $500,000</td>","<td>Excepted Investment Fund, </td>",<td>None (or less than $201)</td>
MICHAEL,BENNET,2014,<td>1</td>,"<td class=""span4""><strong class=""marginit-right"">Merrill Lynch Individual Investor Account (Cash)</strong><div class=""muted""></div></td>",<td>Brokerage/Managed Account</td>,<td>Child</td>,"<td>$15,001 - $50,000</td>","<td>None, </td>",<td>None (or less than $201)</td>
MICHAEL,BENNET,2014,<td>2</td>,"<td class=""span4""><strong class=""marginit-right""><a href=""http://finance.yahoo.com/q?s=MDLOX"" target=""_blank"">MDLOX</a> - BlackRock Global Allocation Inv A (NASDAQ)</strong><div class=""muted""></div></td>","<td>Retirement Plans<div class=""muted"">IRA</div></td>",<td>Self</td>,"<td>$15,001 - $50,000</td>","<td>Excepted Investment Fund, </td>","<td>$1,001 - $2,500</td>"
MICHAEL,BENNET,2014,<td>3</td>,"<td class=""span4""><strong class=""marginit-right""><a href=""http://finance.yahoo.com/q?s=RPMGX"" target=""_blank"">RPMGX</a> - T. Rowe Price Mid-Cap Growth (NASDAQ)</strong><div class=""muted""></div></td>","<td>Retirement Plans<div class=""muted"">Defined Contribution Pension Plan</div></td>",<td>Self</td>,"<td>$250,001 - $500,000</td>","<td>Excepted Investment Fund, </td>","<td>$15,001 - $50,000</td>"
MICHAEL,BENNET,2014,<td>4</td>,"<td class=""span4""><strong class=""marginit-right""><a href=""http://finance.yahoo.com/q?s=HAINX"" target=""_blank"">HAINX</a> - Harbor International Institutional (NASDAQ)</strong><div class=""muted""></div></td>","<td>Retirement Plans<div class=""muted"">Defined Contribution Pension Plan</div></td>",<td>Self</td>,"<td>$50,001 - $100,000</td>","<td>Excepted Investment Fund, </td>","<td>$1,001 - $2,500</td>"
MICHAEL,BENNET,2014,<td>5</td>,"<td class=""span4""><strong class=""marginit-right"">PERA - Public Employees' Retirement Association of Colorado</strong><div class=""muted""></div></td>","<td>Retirement Plans<div class=""muted"">Defined Benefit Pension Plan</div></td>",<td>Self</td>,"<td>$50,001 - $100,000</td>","<td>None, Interest, </td>","<td>$201 - $1,000</td>"
MICHAEL,BENNET,2014,<td>6</td>,"<td class=""span4""><strong>Suntrust</strong><div class=""muted noWrap"">(Richmond, VA)</div><div class=""muted""><div class=""muted""><em>Type: </em>Certificate of Deposit, </div></div></td>",<td>Bank Deposit</td>,<td>Spouse</td>,"<td>$1,001 - $15,000</td>","<td>None, </td>",<td>None (or less than $201)</td>
MICHAEL,BENNET,2014,<td>7</td>,"<td class=""span4""><strong class=""marginit-right"">CollegeInvest Fund</strong><div class=""muted""><em>Institution:</em> CollegeInvest</div><div class=""addUnderlyingAssets noWrap""></div><div class=""muted""></div></td>","<td>Education Savings Plans<div class=""muted"">529 College Savings Plan</div></td>",<td>Child</td>,<td></td>,"<td>Excepted Investment Fund, </td>",<td></td>
MICHAEL,BENNET,2014,<td>7.1</td>,"<td class=""span4""><strong class=""marginit-right"">Moderate Age option: Conservative Growth</strong><div class=""muted""></div></td>","<td>Mutual Funds<div class=""muted"">Mutual Fund</div></td>",<td>Child</td>,"<td>$100,001 - $250,000</td>","<td>Excepted Investment Fund, </td>","<td>$5,001 - $15,000</td>"
MICHAEL,BENNET,2014,<td>7.2</td>,"<td class=""span4""><strong class=""marginit-right"">Conservative Age option: Income Portfolio</strong><div class=""muted""></div></td>","<td>Mutual Funds<div class=""muted"">Mutual Fund</div></td>",<td>Child</td>,"<td>$100,001 - $250,000</td>","<td>Excepted Investment Fund, </td>","<td>$2,501 - $5,000</td>"
MICHAEL,BENNET,2014,<td>8</td>,"<td class=""span4""><strong class=""marginit-right"">CollegeInvest Fund</strong><div class=""muted""><em>Institution:</em> CollegeInvest</div><div class=""addUnderlyingAssets noWrap""></div><div class=""muted""></div></td>","<td>Education Savings Plans<div class=""muted"">529 College Savings Plan</div></td>",<td>Child</td>,<td></td>,"<td>Excepted Investment Fund, </td>",<td></td>
MICHAEL,BENNET,2014,<td>8.1</td>,"<td class=""span4""><strong class=""marginit-right"">Moderate Age option: Conservative Growth</strong><div class=""muted""></div></td>","<td>Mutual Funds<div class=""muted"">Mutual Fund</div></td>",<td>Child</td>,"<td>$100,001 - $250,000</td>","<td>Excepted Investment Fund, </td>","<td>$5,001 - $15,000</td>"
MICHAEL,BENNET,2014,<td>8.2</td>,"<td class=""span4""><strong class=""marginit-right"">Conservative Age option: Income Portfolio</strong><div class=""muted""></div></td>","<td>Mutual Funds<div class=""muted"">Mutual Fund</div></td>",<td>Child</td>,"<td>$100,001 - $250,000</td>","<td>Excepted Investment Fund, </td>","<td>$2,501 - $5,000</td>"
MICHAEL,BENNET,2014,<td>9</td>,"<td class=""span4""><strong class=""marginit-right"">Daggett Farms Limited Partnership</strong><div class=""muted""><em>Description:</em> 1500 acre family farm (Marianna, AR) <em>Filer comment:  </em>9.42% limited partnership </div></td>",<td>Farm</td>,<td>Spouse</td>,"<td>$15,001 - $50,000</td>","<td>Rent/Royalties, Interest, </td>","<td>$5,001 - $15,000</td>"
MICHAEL,BENNET,2014,<td>10</td>,"<td class=""span4""><strong class=""marginit-right"">LMD Farms Limited Partnership</strong><div class=""muted""><em>Description:</em> 1500 acre family farm (Marianna, AR) <em>Filer comment:  </em>8.97% limited partnership </div></td>",<td>Farm</td>,<td>Spouse</td>,"<td>$15,001 - $50,000</td>","<td>Rent/Royalties, Interest, </td>","<td>$15,001 - $50,000</td>"
MICHAEL,BENNET,2014,<td>11</td>,"<td class=""span4""><strong class=""marginit-right"">The Michael F. Bennet Trust</strong><div class=""addUnderlyingAssets noWrap""></div><div class=""muted""></div></td>","<td>Trust<div class=""muted"">General Trust</div></td>",<td>Self</td>,<td></td>,<td></td>,<td></td>
